Unnamed: 0,r,rr,voltage,isd,ba_r,ba_rr,geometry_r,geometry_rr,ll,MW
28,Sorenson,Morocco,765,2033,105,103,POINT (-85.34134522563501 40.983401912983524),POINT (-83.77018953228733 41.839975155183765),191965.89476698058,4597.987578
29,Oneida,Latson,345,2032,103,103,POINT (-84.78512420120848 42.685621283031935),POINT (-83.87802120928949 42.725411601048584),87799.77013884457,1253.447183
30,Latson,Blackfoot,345,2032,103,103,POINT (-83.87802120928949 42.725411601048584),POINT (-83.45335356108436 42.92344897697766),48651.27367543022,1793.0
31,Latson,Majestic,345,2032,103,103,POINT (-83.87802120928949 42.725411601048584),POINT (-83.98085831920773 42.37793931122506),47145.90484330951,1793.0
32,Duff,Reid EHV,345,2032,107,108,POINT (-87.02405276736529 38.31168581676885),POINT (-87.50797455944304 37.64247382015523),102050.51418426947,1173.803628
33,Maywood,Belleau,345,2032,71,72,POINT (-91.59513364671142 39.83672630258193),POINT (-90.6807390222584 38.826489461563924),163182.18746131705,883.120148
34,Belleau,MRPD,345,2032,72,81,POINT (-90.6807390222584 38.826489461563924),POINT (-90.1554873087322 38.881538724310175),54073.75660802192,1793.0
35,MRPD,Sioux,345,2032,81,72,POINT (-90.1554873087322 38.881538724310175),POINT (-90.29384395767512 38.91493753472383),14786.662062266078,1793.0
36,Sioux,Bugle,345,2032,72,81,POINT (-90.29384395767512 38.91493753472383),POINT (-90.17490412049557 38.658854892506234),36153.946305905876,1793.0
37,Arbor Hill,Marshalltown West,765,2034,70,70,POINT (-94.26271299558992 41.466883444153275),POINT (-92.96191870088943 42.047929036425565),148929.71063052863,5305.755213
38,Marshalltown West,Sub T,765,2034,70,70,POINT (-92.96191870088943 42.047929036425565),POINT (-91.55514510004299 41.33477875029053),167278.86600904228,4907.958805
39,Lehigh,Marshalltown West,345,2032,45,70,POINT (-94.1164604824277 42.3713426468494),POINT (-92.96191870088943 42.047929036425565),120262.35691473837,1094.160074
40,Marshalltown West,Franklin County,345,2032,70,45,POINT (-92.96191870088943 42.047929036425565),POINT (-93.23276243975818 42.62772725320596),81289.81343667889,1279.788437
41,Marshalltown West,Montezuma,345,2032,70,70,POINT (-92.96191870088943 42.047929036425565),POINT (-92.56350781983863 41.61053405964703),69931.68277696546,1793.0
42,Sub T,Pontiac Midpoint,765,2034,70,80,POINT (-91.55514510004299 41.33477875029053),POINT (-88.59893392237356 40.842002483249175),299523.3664183221,3383.933604
43,Pontiac Midpoint,Collins,765,2034,80,80,POINT (-88.59893392237356 40.842002483249175),POINT (-88.34768327492853 41.34951361147854),71846.35544070225,6625.0
44,Pontiac Midpoint,Reynolds,765,2034,80,105,POINT (-88.59893392237356 40.842002483249175),POINT (-86.86733447310363 40.771251095935746),172149.08401483053,4830.465998
45,Pontiac Midpoint,Fargo,345,2032,80,82,POINT (-88.59893392237356 40.842002483249175),POINT (-89.7005698156946 40.78489053273257),109610.45400433401,1147.462375
46,Pontiac Midpoint,South Bloomington,345,2032,80,83,POINT (-88.59893392237356 40.842002483249175),POINT (-88.98604018775745 40.46175897285272),63530.744923209495,1793.0
47,Burr Oak,Schahfer,345,2032,105,105,POINT (-86.42226667312539 41.25780149049113),POINT (-87.02338144151533 41.22040869104256),59516.30690677772,1793.0
